setting,seed,candidate,feature_set,classifier,method,n_train,n_eval,accuracy,roc_auc,brier_score,expected_calibration_error,maximum_calibration_error,precision,recall,f1,support_real,support_fake,fake_call_rate,real_false_positive_rate,fake_miss_rate,metrics_path
ishu_same_bounded,7,combined_v3_logreg,combined_v3,logistic_regression,feature_combined_v3_logistic_regression,160.0,80,0.7625,0.7931250000000001,0.1911839853675358,0.1783252256091373,0.7622549086809158,0.7142857142857143,0.875,0.7865168539325843,40,40,0.6125,0.35,0.125,runs/combined_v3_probe_for_recon_lite/seed7/metrics.json
ishu_same_bounded,7,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,feature_reconstruction_lite_logistic_regression,160.0,80,0.6875,0.76,0.20267968500664799,0.07452909252606331,0.2803348898887634,0.7027027027027027,0.65,0.6753246753246753,40,40,0.4625,0.275,0.35,runs/reconstruction_lite_probe/seed7/metrics.json
ishu_same_bounded,7,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,feature_reconstruction_v2_logistic_regression,160.0,80,0.65,0.695625,0.2177547219334055,0.1592255082274347,0.4379600258860075,0.625,0.75,0.6818181818181818,40,40,0.6,0.45,0.25,runs/reconstruction_v2_probe/seed7/metrics.json
ishu_same_bounded,17,combined_v3_logreg,combined_v3,logistic_regression,feature_combined_v3_logistic_regression,160.0,80,0.775,0.84875,0.15959962854612278,0.10635059699568718,0.42272019386291504,0.7619047619047619,0.8,0.7804878048780488,40,40,0.525,0.25,0.2,runs/combined_v3_probe_for_recon_lite/seed17/metrics.json
ishu_same_bounded,17,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,feature_reconstruction_lite_logistic_regression,160.0,80,0.6625,0.654375,0.22933263587025143,0.14350849208422006,0.3669051080942154,0.6511627906976745,0.7,0.6746987951807228,40,40,0.5375,0.375,0.3,runs/reconstruction_lite_probe/seed17/metrics.json
ishu_same_bounded,17,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,feature_reconstruction_v2_logistic_regression,160.0,80,0.7,0.749375,0.19819603647216075,0.07728115411850596,0.15952383406397874,0.6818181818181818,0.75,0.7142857142857143,40,40,0.55,0.35,0.25,runs/reconstruction_v2_probe/seed17/metrics.json
ishu_same_bounded,29,combined_v3_logreg,combined_v3,logistic_regression,feature_combined_v3_logistic_regression,160.0,80,0.7125,0.793125,0.1990981730387185,0.13588211419373694,0.34199270606040955,0.7073170731707317,0.725,0.7160493827160493,40,40,0.5125,0.3,0.275,runs/combined_v3_probe_for_recon_lite/seed29/metrics.json
ishu_same_bounded,29,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,feature_reconstruction_lite_logistic_regression,160.0,80,0.7125,0.78625,0.19916085583646828,0.0979069440130843,0.23178718239068985,0.6666666666666666,0.85,0.7472527472527473,40,40,0.6375,0.425,0.15,runs/reconstruction_lite_probe/seed29/metrics.json
ishu_same_bounded,29,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,feature_reconstruction_v2_logistic_regression,160.0,80,0.7875,0.8200000000000001,0.17274095595685712,0.12155123902248069,0.28965938955820714,0.7169811320754716,0.95,0.8172043010752689,40,40,0.6625,0.375,0.05,runs/reconstruction_v2_probe/seed29/metrics.json
ishu_to_ms_cocoai_bounded,7,combined_v3_logreg,combined_v3,logistic_regression,cross_feature_combined_v3,,1000,0.508,0.538174,0.3590839345464284,0.3106286813468909,0.45246484202723347,0.5192307692307693,0.216,0.3050847457627119,500,500,0.208,0.2,0.784,runs/combined_v3_probe_for_recon_lite_to_ms/seed7/metrics.json
ishu_to_ms_cocoai_bounded,7,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,cross_feature_reconstruction_lite,,1000,0.586,0.6119199999999999,0.24290371777845673,0.04352685693612147,0.6121452848116558,0.6033653846153846,0.502,0.5480349344978166,500,500,0.416,0.33,0.498,runs/reconstruction_lite_probe_to_ms/seed7/metrics.json
ishu_to_ms_cocoai_bounded,7,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,cross_feature_reconstruction_v2,,1000,0.57,0.5726519999999999,0.2641225066676278,0.0994943008594695,0.4144136543098658,0.5738396624472574,0.544,0.5585215605749486,500,500,0.474,0.404,0.456,runs/reconstruction_v2_probe_to_ms/seed7/metrics.json
ishu_to_ms_cocoai_bounded,17,combined_v3_logreg,combined_v3,logistic_regression,cross_feature_combined_v3,,1000,0.558,0.604884,0.3255291580008374,0.26720202468762017,0.38387961928128833,0.6330275229357798,0.276,0.38440111420612816,500,500,0.218,0.16,0.724,runs/combined_v3_probe_for_recon_lite_to_ms/seed17/metrics.json
ishu_to_ms_cocoai_bounded,17,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,cross_feature_reconstruction_lite,,1000,0.585,0.630328,0.24061923450526188,0.06108049240394759,0.2684523074790377,0.5906183368869936,0.554,0.5717234262125903,500,500,0.469,0.384,0.446,runs/reconstruction_lite_probe_to_ms/seed17/metrics.json
ishu_to_ms_cocoai_bounded,17,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,cross_feature_reconstruction_v2,,1000,0.569,0.60886,0.2629443933891881,0.1339457766971337,0.37952146155333394,0.5764966740576497,0.52,0.5467928496319664,500,500,0.451,0.382,0.48,runs/reconstruction_v2_probe_to_ms/seed17/metrics.json
ishu_to_ms_cocoai_bounded,29,combined_v3_logreg,combined_v3,logistic_regression,cross_feature_combined_v3,,1000,0.575,0.607036,0.31700140228833573,0.2475316479215656,0.3748118825657703,0.6506024096385542,0.324,0.4325767690253672,500,500,0.249,0.174,0.676,runs/combined_v3_probe_for_recon_lite_to_ms/seed29/metrics.json
ishu_to_ms_cocoai_bounded,29,reconstruction_lite_logreg,reconstruction_lite,logistic_regression,cross_feature_reconstruction_lite,,1000,0.614,0.6662079999999999,0.2296782780533044,0.024541807916664313,0.5388572573661804,0.614,0.614,0.614,500,500,0.5,0.386,0.386,runs/reconstruction_lite_probe_to_ms/seed29/metrics.json
ishu_to_ms_cocoai_bounded,29,reconstruction_v2_logreg,reconstruction_v2,logistic_regression,cross_feature_reconstruction_v2,,1000,0.577,0.604564,0.25358730895861437,0.07970172981766684,0.4455693758780973,0.5686274509803921,0.638,0.6013195098963242,500,500,0.561,0.484,0.362,runs/reconstruction_v2_probe_to_ms/seed29/metrics.json
